name;position;attack;defense;birthYear
Butland;G;0;87;1993
McCarthy;G;0;71;1989
Pickford;G;0;90;1994
Alexander-Arnold;D;40;83;1998
Gomez;D;11;85;1997
Maguire;D;15;92;1993
Rose;D;43;89;1990
Shaw;D;45;83;1995
Stones;D;14;93;1994
Tarkowski;D;15;84;1992
Trippier;D;49;89;1990
Walker;D;48;92;1990
Alli;M;96;93;1996
Delph;M;83;85;1989
Dier;M;89;94;1994
Gray;M;89;83;1996
Henderson;M;89;89;1990
Loftus-Cheek;M;86;84;1996
Kane;A;97;15;1993
Lingard;A;91;45;1992
Rashford;A;90;10;1997
Sterling;A;94;47;1994
Welbeck;A;84;17;1990
